task_id,asset_id,department,task_type,description,created_date,due_date,estimated_duration,required_block_duration,criticality,urgency,safety_impact,asset_impact,status,required_resources,preferred_time_window,corridor_id,dependency_task_id,ai_priority_score,ai_priority_level,ai_failure_risk,ai_risk_percentage,ai_train_impact_score,ai_reasons,ai_model_version
TSK-040,AST-092,S&T,Preventive,Preventive maintenance on Signal,2026-08-12,2026-08-27,2.21783605443815,2.5066278229402736,High,Critical,Medium,High,OVERDUE,"Rail_Testing,OHE_Team",Morning,COR-002,,,,,,,,
TSK-041,AST-099,Engineering,Emergency,Emergency maintenance on Signal,2026-07-24,2026-09-27,0.7800639441518777,0.9702324948496457,Critical,Critical,High,High,SCHEDULED,Signal_Team,Morning,COR-005,,,,,,,,
TSK-042,AST-007,S&T,Inspection,Inspection maintenance on Switch,2026-07-07,2026-09-02,1.500445070321933,1.6931686619885074,Medium,Critical,Medium,High,PENDING,"Rail_Testing,OHE_Team",Early_Morning,COR-007,,,,,,,,
TSK-043,AST-083,Traction,Preventive,Preventive maintenance on Switch,2026-08-10,2026-08-28,1.0388713353327634,1.4358682745416536,Low,Critical,Medium,High,OVERDUE,OHE_Team,Early_Morning,COR-012,,,,,,,,
TSK-044,AST-027,S&T,Corrective,Corrective maintenance on OHE,2026-08-31,2026-08-30,2.016378263081598,2.863008604472028,High,Critical,Medium,High,OVERDUE,"Signal_Team,Point_Machine_Team",Any,COR-005,,,,,,,,
TSK-045,AST-093,Traction,Inspection,Inspection maintenance on Switch,2026-07-19,2026-09-21,3.145602328487357,4.068399041657196,High,Critical,Medium,High,PENDING,"Point_Machine_Team,Bridge_Inspector",Morning,COR-002,,,,,,,,
TSK-046,AST-063,S&T,Preventive,Preventive maintenance on Signal,2026-07-14,2026-09-26,2.928567873625656,3.4084228062142197,High,High,Medium,High,PENDING,Welding_Unit,Morning,COR-003,,,,,,,,
TSK-047,AST-114,Engineering,Preventive,Preventive maintenance on Switch,2026-08-22,2026-09-01,0.6153175388593549,0.8220955899565606,Critical,Medium,High,High,PENDING,Welding_Unit,Afternoon,COR-005,,,,,,,,
TSK-048,AST-064,S&T,Preventive,Preventive maintenance on Track,2026-07-08,2026-09-15,3.7277816135420103,4.9841456854885005,Medium,Critical,Medium,High,PENDING,Welding_Unit,Morning,COR-012,,,,,,,,
TSK-049,AST-070,Engineering,Corrective,Corrective maintenance on Bridge,2026-08-07,2026-09-18,0.6765944971704331,0.772552610447942,Critical,Critical,High,High,PENDING,Welding_Unit,Night,COR-002,,,,,,,,
TSK-050,AST-055,S&T,Preventive,Preventive maintenance on Signal,2026-08-18,2026-08-28,1.7696849659811655,2.1243207768477474,Critical,Critical,High,High,OVERDUE,Welding_Unit,Night,COR-004,,,,,,,,
TSK-051,AST-002,Engineering,Inspection,Inspection maintenance on Bridge,2026-07-22,2026-09-29,3.420501919670098,4.902271854914083,Critical,Critical,High,High,IN_PROGRESS,Welding_Unit,Early_Morning,COR-011,,,,,,,,
TSK-052,AST-110,S&T,Corrective,Corrective maintenance on Signal,2026-08-10,2026-09-14,2.3500447050310482,3.347031288126786,High,High,Medium,High,PENDING,Welding_Unit,Afternoon,COR-012,,,,,,,,
TSK-053,AST-071,Traction,Corrective,Corrective maintenance on Station,2026-07-04,2026-09-12,2.89904182829952,4.092293699712164,High,Medium,Medium,High,SCHEDULED,Welding_Unit,Night,COR-005,,,,,,,,
TSK-054,AST-068,Engineering,Preventive,Preventive maintenance on Switch,2026-07-25,2026-09-15,2.1218685308162617,2.842820505313306,High,Low,Medium,High,PENDING,Welding_Unit,Afternoon,COR-004,,,,,,,,
TSK-055,AST-098,Engineering,Corrective,Corrective maintenance on Station,2026-08-18,2026-09-10,1.8733373532645246,2.3643129392246687,High,High,Medium,High,PENDING,Welding_Unit,Night,COR-005,,,,,,,,
TSK-056,AST-116,Traction,Preventive,Preventive maintenance on Switch,2026-08-03,2026-09-30,3.4867127416305332,5.039682672840683,Low,Critical,Medium,High,COMPLETED,"Track_Machine,Rail_Testing",Night,COR-001,,,,,,,,
TSK-057,AST-009,Engineering,Preventive,Preventive maintenance on OHE,2026-08-14,2026-08-28,0.5373530074709194,0.758002505393132,High,High,Medium,High,OVERDUE,Signal_Team,Night,COR-001,,,,,,,,
TSK-058,AST-019,Engineering,Preventive,Preventive maintenance on Track,2026-07-27,2026-09-08,1.1009849614079086,1.4444191150653023,High,Medium,Medium,High,PENDING,Point_Machine_Team,Night,COR-001,,,,,,,,
TSK-059,AST-066,S&T,Corrective,Corrective maintenance on Track,2026-08-07,2026-09-02,2.4699058302511103,3.0264918914971735,High,Critical,Medium,High,PENDING,"Signal_Team,Rail_Testing",Night,COR-001,,,,,,,,
TSK-060,AST-065,Engineering,Inspection,Inspection maintenance on Switch,2026-07-19,2026-09-13,3.1540591602368147,4.470730510677965,High,High,Medium,High,PENDING,Bridge_Inspector,Night,COR-001,,,,,,,,
TSK-061,AST-010,Operations,Inspection,Inspection maintenance on Station,2026-08-09,2026-09-19,3.4620056777026105,4.30170357477359,High,Low,Medium,High,SCHEDULED,"OHE_Team,SCADA_Team",Night,COR-001,,,,,,,,
TSK-062,AST-083,Traction,Preventive,Preventive maintenance on Switch,2026-08-21,2026-09-06,1.985724914367873,2.4299905333749168,Low,High,Medium,High,SCHEDULED,"Track_Machine,Welding_Unit",Night,COR-001,,,,,,,,
TSK-063,AST-112,Engineering,Corrective,Corrective maintenance on Signal,2026-08-24,2026-09-01,3.6753510854697753,5.131250314616647,Medium,Critical,Medium,High,PENDING,Signal_Team,Night,COR-001,,,,,,,,
TSK-064,AST-009,Engineering,Emergency,Emergency maintenance on OHE,2026-07-30,2026-09-12,0.5416424128580446,0.6593209309061498,High,Critical,Medium,High,PENDING,"Telecom_Team,Track_Machine",Night,COR-011,,,,,,,,
TSK-065,AST-042,Engineering,Corrective,Corrective maintenance on OHE,2026-08-31,2026-09-25,2.4825528978031928,3.199272184757614,Critical,Medium,High,High,PENDING,Bridge_Inspector,Early_Morning,COR-002,TSK-064,,,,,,,
TSK-066,AST-111,Traction,Corrective,Corrective maintenance on Track,2026-07-06,2026-08-25,1.5884055748406165,1.810568824099571,Medium,High,Medium,High,OVERDUE,"Track_Machine,SCADA_Team",Afternoon,COR-012,TSK-065,,,,,,,
TSK-067,AST-053,S&T,Inspection,Inspection maintenance on Track,2026-07-11,2026-09-25,2.908816470674773,3.7961016327641266,High,Critical,Medium,High,COMPLETED,Track_Machine,Any,COR-010,TSK-066,,,,,,,
TSK-068,AST-072,S&T,Corrective,Corrective maintenance on Track,2026-08-08,2026-08-26,1.6577754699967946,2.324161555051253,Medium,Critical,Medium,High,OVERDUE,Bridge_Inspector,Early_Morning,COR-010,TSK-067,,,,,,,
TSK-069,AST-076,Engineering,Corrective,Corrective maintenance on Track,2026-08-19,2026-09-05,2.60475862547424,3.4341657960261665,High,Medium,Medium,High,PENDING,"Point_Machine_Team,Signal_Team",Morning,COR-001,,,,,,,,
TSK-070,AST-084,Engineering,Preventive,Preventive maintenance on Track,2026-07-19,2026-08-27,2.3941581954995854,2.656286302406956,High,Low,Medium,High,OVERDUE,Welding_Unit,Afternoon,COR-005,,,,,,,,
TSK-071,AST-115,Engineering,Corrective,Corrective maintenance on Switch,2026-08-20,2026-09-09,1.1789788467818902,1.4312108435293258,High,High,Medium,High,PENDING,OHE_Team,Early_Morning,COR-008,,,,,,,,
TSK-072,AST-103,Engineering,Emergency,Emergency maintenance on Switch,2026-08-31,2026-09-06,1.4883898853703945,2.134533548917937,Low,High,Medium,High,PENDING,Telecom_Team,Morning,COR-009,,,,,,,,
TSK-073,AST-030,Engineering,Preventive,Preventive maintenance on Track,2026-08-14,2026-09-30,2.672914214709675,3.8928273170315335,Medium,Critical,Medium,High,PENDING,Telecom_Team,Early_Morning,COR-007,,,,,,,,
TSK-074,AST-069,Engineering,Corrective,Corrective maintenance on Track,2026-07-18,2026-08-24,3.8073159728752657,4.485887269576865,High,High,Medium,High,OVERDUE,"SCADA_Team,Bridge_Inspector",Early_Morning,COR-003,,,,,,,,
TSK-075,AST-015,Engineering,Preventive,Preventive maintenance on Track,2026-08-13,2026-09-03,2.9078699404154813,4.120401305365766,High,Critical,Medium,High,PENDING,Track_Gang,Afternoon,COR-003,,,,,,,,
TSK-076,AST-047,Engineering,Emergency,Emergency maintenance on Track,2026-07-10,2026-09-02,3.3385538122622425,4.8195181096731305,Critical,Low,High,High,SCHEDULED,Signal_Team,Early_Morning,COR-011,,,,,,,,
TSK-077,AST-106,Traction,Preventive,Preventive maintenance on Station,2026-07-13,2026-09-02,3.383931362049729,4.638830195994537,Medium,Critical,Medium,High,PENDING,"Track_Gang,Welding_Unit",Afternoon,COR-012,,,,,,,,
TSK-078,AST-103,Engineering,Inspection,Inspection maintenance on Switch,2026-08-01,2026-09-18,3.6328717900553222,4.954139321620931,Low,Medium,Medium,High,SCHEDULED,Track_Machine,Early_Morning,COR-009,,,,,,,,
TSK-079,AST-012,S&T,Preventive,Preventive maintenance on Signal,2026-07-22,2026-09-03,3.617333365621675,5.018733626698932,Critical,High,High,High,PENDING,"Telecom_Team,Welding_Unit",Afternoon,COR-003,,,,,,,,
TSK-080,AST-118,Operations,Corrective,Corrective maintenance on Bridge,2026-07-04,2026-09-05,1.6026977381265979,2.1103555631574364,Critical,Medium,High,High,PENDING,"SCADA_Team,Signal_Team",Night,COR-005,,,,,,,,
TSK-081,AST-105,S&T,Inspection,Inspection maintenance on Track,2026-07-25,2026-09-30,1.1748097813681233,1.4752640983641014,High,Medium,Medium,High,PENDING,"Point_Machine_Team,Welding_Unit",Night,COR-010,,,,,,,,
TSK-082,AST-118,Operations,Corrective,Corrective maintenance on Bridge,2026-08-08,2026-09-12,1.883917536853977,2.6885731405236015,Critical,Medium,High,High,PENDING,"Welding_Unit,Track_Machine",Afternoon,COR-005,,,,,,,,
TSK-083,AST-077,S&T,Preventive,Preventive maintenance on Bridge,2026-08-08,2026-09-30,2.3502044313781676,3.1399825668451866,Low,Medium,Medium,High,SCHEDULED,Telecom_Team,Night,COR-009,,,,,,,,
TSK-084,AST-105,S&T,Preventive,Preventive maintenance on Track,2026-08-10,2026-09-29,0.7625773111252137,1.1120363650320886,High,High,Medium,High,PENDING,"Bridge_Inspector,SCADA_Team",Morning,COR-010,,,,,,,,
TSK-085,AST-107,S&T,Preventive,Preventive maintenance on Switch,2026-08-18,2026-09-24,3.736217871591961,4.265284934978381,Critical,High,High,High,SCHEDULED,"SCADA_Team,Welding_Unit",Morning,COR-011,,,,,,,,
TSK-086,AST-053,S&T,Corrective,Corrective maintenance on Track,2026-07-05,2026-08-27,1.2079561360971063,1.4321207999680132,High,Medium,Medium,High,OVERDUE,Point_Machine_Team,Early_Morning,COR-010,,,,,,,,
TSK-087,AST-079,S&T,Preventive,Preventive maintenance on Track,2026-07-18,2026-09-06,1.217692826965925,1.6539968289415206,High,High,Medium,High,PENDING,"Telecom_Team,Welding_Unit",Morning,COR-009,,,,,,,,
TSK-088,AST-024,Traction,Preventive,Preventive maintenance on Track,2026-07-17,2026-09-18,3.694936003678913,4.201224183746191,High,High,Medium,High,IN_PROGRESS,"Telecom_Team,Rail_Testing",Early_Morning,COR-004,,,,,,,,
TSK-089,AST-034,S&T,Preventive,Preventive maintenance on Signal,2026-08-28,2026-09-05,1.451877877223289,2.0155943583820424,High,Critical,Medium,High,COMPLETED,Signal_Team,Any,COR-001,,,,,,,,
TSK-090,AST-054,Traction,Corrective,Corrective maintenance on Switch,2026-08-17,2026-09-05,2.8523677345481766,3.42534584450946,High,High,Medium,High,PENDING,"Signal_Team,Track_Machine",Early_Morning,COR-001,,,,,,,,
TSK-091,AST-002,Engineering,Inspection,Inspection maintenance on Bridge,2026-07-04,2026-09-20,3.6560958661422474,4.502129690978457,Critical,Critical,High,High,PENDING,Track_Machine,Afternoon,COR-011,,,,,,,,
TSK-092,AST-074,Engineering,Emergency,Emergency maintenance on Switch,2026-07-16,2026-09-05,1.1484380775340564,1.706274770334554,High,Medium,Medium,High,PENDING,Track_Gang,Afternoon,COR-002,,,,,,,,
TSK-093,AST-089,Engineering,Inspection,Inspection maintenance on Bridge,2026-08-04,2026-08-24,3.636099278637476,4.602749090416608,Critical,Medium,High,High,OVERDUE,Rail_Testing,Afternoon,COR-007,,,,,,,,
TSK-094,AST-088,Engineering,Preventive,Preventive maintenance on Station,2026-08-17,2026-09-15,2.1178933499543517,2.585182464661193,High,Low,Medium,High,PENDING,Point_Machine_Team,Night,COR-001,,,,,,,,
TSK-095,AST-012,S&T,Corrective,Corrective maintenance on Signal,2026-07-27,2026-09-07,2.6826908155404245,3.467860589607674,Critical,Critical,High,High,PENDING,"Telecom_Team,Track_Gang",Early_Morning,COR-003,,,,,,,,
TSK-096,AST-008,Engineering,Preventive,Preventive maintenance on Track,2026-08-07,2026-09-10,0.8635582659758367,1.1952147394766932,High,Medium,Medium,High,SCHEDULED,Bridge_Inspector,Any,COR-011,,,,,,,,
TSK-097,AST-108,S&T,Corrective,Corrective maintenance on Signal,2026-08-14,2026-09-27,3.264692005959959,4.659256943040865,Critical,Medium,High,High,COMPLETED,"Track_Gang,Welding_Unit",Early_Morning,COR-011,,,,,,,,
TSK-098,AST-081,Traction,Inspection,Inspection maintenance on Signal,2026-07-21,2026-09-08,2.611577574361301,3.0849562384008413,Critical,Low,High,High,PENDING,Signal_Team,Any,COR-003,,,,,,,,
TSK-099,AST-120,S&T,Preventive,Preventive maintenance on Switch,2026-08-23,2026-09-24,0.8727907296113051,1.004529335151722,Critical,Low,High,High,PENDING,Telecom_Team,Morning,COR-002,,,,,,,,
TSK-100,AST-094,S&T,Preventive,Preventive maintenance on Switch,2026-07-12,2026-09-21,3.555624605341478,4.967535919612981,Critical,Low,High,High,PENDING,Rail_Testing,Night,COR-012,,,,,,,,
TSK-101,AST-103,Engineering,Inspection,Inspection maintenance on Switch,2026-07-18,2026-08-27,0.706511668996851,1.0332342462214315,Low,Critical,Medium,High,OVERDUE,"SCADA_Team,Point_Machine_Team",Night,COR-009,,,,,,,,
TSK-102,AST-107,S&T,Preventive,Preventive maintenance on Switch,2026-07-07,2026-09-20,3.1778902865394745,4.466858635952067,Critical,High,High,High,IN_PROGRESS,"Signal_Team,Rail_Testing",Morning,COR-011,,,,,,,,
TSK-103,AST-036,Traction,Corrective,Corrective maintenance on OHE,2026-07-20,2026-09-05,3.653037630405527,4.475622240023697,High,High,Medium,High,PENDING,"Welding_Unit,Track_Machine",Morning,COR-005,,,,,,,,
TSK-104,AST-103,Engineering,Preventive,Preventive maintenance on Switch,2026-08-27,2026-09-29,2.0921855070374495,2.96709975194331,Low,High,Medium,High,PENDING,"Rail_Testing,Track_Gang",Any,COR-009,,,,,,,,
TSK-105,AST-092,S&T,Preventive,Preventive maintenance on Signal,2026-07-31,2026-09-01,0.9261319917668744,1.2389696930649843,High,Critical,Medium,High,SCHEDULED,SCADA_Team,Afternoon,COR-002,,,,,,,,
TSK-106,AST-006,Engineering,Emergency,Emergency maintenance on Bridge,2026-07-10,2026-09-24,1.6243931069486939,1.853769885377694,Low,Low,Medium,High,PENDING,Track_Gang,Any,COR-007,,,,,,,,
TSK-107,AST-042,Engineering,Corrective,Corrective maintenance on OHE,2026-07-29,2026-09-26,2.2991497638737144,2.863220622671032,Critical,Medium,High,High,SCHEDULED,Track_Machine,Night,COR-002,,,,,,,,
TSK-108,AST-078,Engineering,Preventive,Preventive maintenance on Track,2026-07-17,2026-09-16,1.6698623095499596,2.4779710850569274,Medium,Medium,Medium,High,PENDING,Track_Machine,Morning,COR-007,,,,,,,,
TSK-109,AST-007,S&T,Inspection,Inspection maintenance on Switch,2026-07-17,2026-09-05,3.625985514328017,4.485246626890883,Medium,Low,Medium,High,PENDING,Track_Gang,Morning,COR-007,,,,,,,,
TSK-110,AST-086,Traction,Corrective,Corrective maintenance on Track,2026-08-06,2026-09-09,1.6524584369903064,1.910455302045531,High,Low,Medium,High,PENDING,"Point_Machine_Team,Rail_Testing",Night,COR-011,,,,,,,,
TSK-111,AST-022,Engineering,Inspection,Inspection maintenance on Bridge,2026-08-26,2026-09-14,2.637619732340083,3.6566377561138803,High,Medium,Medium,High,PENDING,Welding_Unit,Early_Morning,COR-001,,,,,,,,
TSK-112,AST-045,Engineering,Corrective,Corrective maintenance on Track,2026-08-25,2026-08-30,3.9128566538507012,5.810244763444615,Critical,Critical,High,High,OVERDUE,OHE_Team,Morning,COR-005,,,,,,,,
TSK-113,AST-007,S&T,Preventive,Preventive maintenance on Switch,2026-08-19,2026-09-19,3.6273550063634548,5.352368559471735,Medium,Critical,Medium,High,PENDING,"Signal_Team,Bridge_Inspector",Morning,COR-007,,,,,,,,
TSK-114,AST-057,Engineering,Emergency,Emergency maintenance on OHE,2026-07-18,2026-08-31,1.4687302851302115,2.035470339407337,Critical,Critical,High,High,OVERDUE,"Rail_Testing,Welding_Unit",Night,COR-005,,,,,,,,
TSK-115,AST-072,S&T,Preventive,Preventive maintenance on Track,2026-08-07,2026-08-30,0.9521437123306232,1.37391094560268,Medium,Medium,Medium,High,OVERDUE,"Telecom_Team,OHE_Team",Afternoon,COR-010,,,,,,,,
TSK-116,AST-072,S&T,Preventive,Preventive maintenance on Track,2026-08-10,2026-09-10,2.2124527906416285,3.094532586297107,Medium,Low,Medium,High,IN_PROGRESS,SCADA_Team,Afternoon,COR-010,,,,,,,,
TSK-117,AST-052,Engineering,Emergency,Emergency maintenance on Switch,2026-08-23,2026-08-23,2.247915964830856,2.8995668282972673,Critical,Medium,High,High,OVERDUE,Rail_Testing,Any,COR-003,,,,,,,,
TSK-118,AST-022,Engineering,Inspection,Inspection maintenance on Bridge,2026-08-30,2026-09-21,3.1481145428641915,3.5282949204195178,High,Low,Medium,High,PENDING,Track_Gang,Early_Morning,COR-001,,,,,,,,
TSK-119,AST-084,Engineering,Corrective,Corrective maintenance on Track,2026-08-16,2026-09-07,3.251001722270784,4.501277480744848,High,High,Medium,High,IN_PROGRESS,Welding_Unit,Night,COR-005,,,,,,,,
TSK-120,AST-061,S&T,Corrective,Corrective maintenance on Track,2026-08-19,2026-09-04,1.8820328310050225,2.5282357420711166,High,Medium,Medium,High,PENDING,OHE_Team,Night,COR-002,,,,,,,,
TSK-121,AST-107,S&T,Preventive,Preventive maintenance on Switch,2026-08-28,2026-09-25,2.7134031329731876,3.6283130390189284,Critical,Low,High,High,PENDING,Rail_Testing,Any,COR-011,,,,,,,,
TSK-122,AST-029,Traction,Inspection,Inspection maintenance on Station,2026-08-31,2026-09-09,2.623910001198066,3.789690711435952,Medium,Critical,Medium,High,PENDING,OHE_Team,Morning,COR-009,,,,,,,,
