asset_id,asset_type,department,location,corridor_id,criticality,installation_date,last_maintenance_date,next_due_date,condition_score,availability_status,failure_history
AST-057,OHE,Engineering,Loc-937km,COR-005,Critical,2004-05-15,2026-04-08,2027-01-24,91.24662681203267,Available,0
AST-058,Track,Engineering,Loc-25km,COR-010,High,2006-11-27,2025-12-15,2026-09-09,57.31729971829806,Available,5
AST-059,Bridge,Engineering,Loc-476km,COR-008,Medium,2006-04-09,2026-02-27,2026-10-22,79.02478537730438,Available,2
AST-060,Signal,Engineering,Loc-18km,COR-007,Medium,2008-01-13,2025-11-10,2026-07-01,43.353823869421376,Available,4
AST-061,Track,S&T,Loc-380km,COR-002,High,2018-07-07,2026-04-14,2027-04-04,62.03813734691141,Available,3
AST-062,Switch,Operations,Loc-609km,COR-002,Critical,2012-11-08,2026-06-30,2027-06-03,60.399224768242235,Available,3
AST-063,Signal,S&T,Loc-624km,COR-003,High,2010-07-16,2026-08-16,2027-08-03,76.11334659278296,Available,4
AST-064,Track,S&T,Loc-934km,COR-012,Medium,1991-03-23,2026-04-26,2026-08-13,85.5312001770152,Available,0
AST-065,Switch,Engineering,Loc-359km,COR-005,High,1990-02-19,2026-01-26,2026-08-23,15.889315190838353,Requires Maintenance,8
AST-066,Track,S&T,Loc-153km,COR-004,High,1995-02-21,2026-07-12,2026-11-19,85.02861506181928,Available,2
AST-067,Bridge,S&T,Loc-822km,COR-005,Critical,1996-10-13,2026-02-14,2026-09-13,99.00018641848105,Available,1
AST-068,Switch,Engineering,Loc-762km,COR-004,High,2023-07-15,2026-03-24,2027-02-22,43.41248526770458,Available,7
AST-069,Track,Engineering,Loc-42km,COR-003,High,1998-09-08,2026-08-06,2027-03-12,82.32039246572786,Available,1
AST-070,Bridge,Engineering,Loc-318km,COR-002,Critical,2008-05-12,2026-08-06,2026-12-30,74.73482354272133,Available,4
AST-071,Station,Traction,Loc-401km,COR-005,High,2015-09-13,2026-07-28,2026-12-11,96.37231579789487,Available,0
AST-072,Track,S&T,Loc-372km,COR-010,Medium,1997-02-27,2026-01-20,2026-07-10,46.02612893932322,Available,6
AST-073,Switch,Engineering,Loc-516km,COR-010,Low,2015-07-23,2026-07-15,2026-10-27,72.50836752216141,Available,3
AST-074,Switch,Engineering,Loc-891km,COR-002,High,2023-11-23,2025-11-27,2026-07-15,61.34085283274322,Available,3
AST-075,Station,Engineering,Loc-146km,COR-001,High,1994-01-17,2026-08-20,2027-04-08,96.2750546321837,Available,0
AST-076,Track,Engineering,Loc-344km,COR-001,High,1993-12-27,2026-06-23,2027-04-06,42.25503386101616,Available,4
AST-077,Bridge,S&T,Loc-888km,COR-009,Low,1999-11-02,2026-01-17,2026-12-13,43.2493204741447,Available,6
AST-078,Track,Engineering,Loc-781km,COR-007,Medium,2007-01-24,2026-08-20,2027-04-26,86.38761415976064,Available,0
AST-079,Track,S&T,Loc-537km,COR-009,High,1992-09-02,2026-03-06,2026-06-12,83.00634082089618,Available,1
AST-080,Signal,Engineering,Loc-224km,COR-008,Medium,2007-06-05,2026-02-28,2026-07-13,15.052981879217702,Requires Maintenance,6
AST-081,Signal,Traction,Loc-693km,COR-003,Critical,2017-01-27,2026-06-25,2027-03-10,73.90080762795318,Available,2
AST-082,Signal,S&T,Loc-82km,COR-006,Low,2020-07-10,2026-03-16,2026-11-18,84.08185663851751,Available,1
AST-083,Switch,Traction,Loc-831km,COR-012,Low,2013-03-16,2026-06-10,2027-04-28,96.16926918375742,Available,0
AST-084,Track,Engineering,Loc-270km,COR-005,High,1990-12-22,2026-02-11,2026-08-06,12.050194559813585,Requires Maintenance,8
AST-085,Station,Operations,Loc-489km,COR-004,Critical,1992-11-26,2026-07-28,2026-08-03,22.951472868038152,Requires Maintenance,7
AST-086,Track,Traction,Loc-869km,COR-011,High,2016-03-17,2025-12-30,2026-06-29,44.11905228079213,Available,6
AST-087,Signal,Engineering,Loc-539km,COR-009,Medium,2014-08-12,2025-11-22,2026-11-17,55.59759952475652,Available,3
AST-088,Station,Engineering,Loc-558km,COR-001,High,1996-03-12,2026-02-23,2026-06-16,47.682901908055634,Available,5
AST-089,Bridge,Engineering,Loc-789km,COR-007,Critical,1991-08-08,2026-06-20,2027-04-10,74.27826436144858,Available,1
AST-090,Track,Engineering,Loc-588km,COR-006,Critical,1997-11-22,2026-02-25,2026-08-21,74.74909430632712,Available,2
AST-091,Station,Engineering,Loc-166km,COR-006,High,1998-01-13,2026-04-29,2026-08-10,22.36311468636238,Requires Maintenance,7
AST-092,Signal,S&T,Loc-553km,COR-002,High,1992-11-06,2026-08-14,2027-07-31,96.70385458354413,Available,0
AST-093,Switch,Traction,Loc-971km,COR-002,High,1995-10-22,2026-08-20,2027-03-24,79.17113629708074,Available,2
AST-094,Switch,S&T,Loc-723km,COR-012,Critical,1997-07-21,2026-02-21,2026-08-11,92.19213987358044,Available,2
AST-095,Track,Operations,Loc-24km,COR-009,Medium,1996-12-17,2026-01-22,2026-09-27,44.076324477621334,Available,4
AST-096,Bridge,Engineering,Loc-246km,COR-012,Medium,2023-04-02,2025-12-04,2026-11-01,65.24224409465089,Available,3
AST-097,Track,Engineering,Loc-857km,COR-002,High,2003-08-07,2026-05-31,2027-01-05,76.65565112076405,Available,2
AST-098,Station,Engineering,Loc-778km,COR-005,High,2012-11-10,2026-02-09,2026-09-04,69.42063166703028,Available,2
AST-099,Signal,Engineering,Loc-282km,COR-005,Critical,2017-06-12,2025-12-15,2026-07-22,70.8572493302015,Available,3
AST-100,Track,Engineering,Loc-811km,COR-006,Low,2001-10-20,2026-02-23,2027-01-20,44.42777921116207,Available,6
AST-101,Track,Engineering,Loc-669km,COR-009,Medium,2005-02-10,2026-08-15,2027-03-21,52.71122899487466,Available,3
AST-102,Bridge,Traction,Loc-744km,COR-006,Low,2019-02-18,2026-03-31,2026-07-24,73.08161751855734,Available,2
AST-103,Switch,Engineering,Loc-681km,COR-009,Low,2015-12-02,2026-02-12,2026-07-14,73.82566928886233,Available,4
AST-104,Station,Traction,Loc-601km,COR-005,High,1993-06-19,2026-06-02,2027-01-06,76.92246046256633,Available,1
AST-105,Track,S&T,Loc-794km,COR-010,High,2015-11-03,2026-05-05,2027-04-24,74.7733603344931,Available,1
AST-106,Station,Traction,Loc-326km,COR-012,Medium,2004-12-04,2025-11-25,2026-04-06,57.06239138130782,Available,2
AST-107,Switch,S&T,Loc-893km,COR-011,Critical,2000-03-15,2025-11-19,2026-07-07,49.788899284177305,Available,4
AST-108,Signal,S&T,Loc-351km,COR-011,Critical,1991-02-17,2026-06-07,2026-08-06,28.592117548439784,Requires Maintenance,7
AST-109,OHE,Traction,Loc-887km,COR-007,Low,1990-12-24,2026-03-03,2026-07-17,91.8522844654741,Available,0
AST-110,Signal,S&T,Loc-580km,COR-012,High,1997-08-16,2026-07-05,2027-03-05,50.60224199541133,Available,4
AST-111,Track,Traction,Loc-160km,COR-012,Medium,1990-07-21,2026-03-26,2026-07-28,23.42849339061229,Requires Maintenance,6
AST-112,Signal,Engineering,Loc-459km,COR-009,Medium,1992-10-22,2026-04-20,2027-01-01,89.38927601074437,Available,0
AST-113,Station,Engineering,Loc-956km,COR-003,High,1992-09-08,2026-06-14,2027-03-26,56.86135663777102,Available,5
AST-114,Switch,Engineering,Loc-803km,COR-005,Critical,1992-06-06,2026-04-15,2027-02-13,69.64059958267114,Available,1
AST-115,Switch,Engineering,Loc-648km,COR-008,High,2019-09-23,2026-08-11,2027-04-02,44.438369705388425,Available,4
AST-116,Switch,Traction,Loc-784km,COR-007,Low,1990-09-21,2026-05-31,2027-04-16,99.92483502158375,Available,0
AST-117,Signal,Engineering,Loc-406km,COR-004,Critical,2000-03-20,2026-02-14,2026-08-28,16.06256711890657,Requires Maintenance,8
AST-118,Bridge,Operations,Loc-526km,COR-005,Critical,2019-08-10,2026-03-18,2026-10-27,65.05764995910049,Available,4
AST-119,Track,Engineering,Loc-937km,COR-002,High,2022-04-14,2026-05-05,2027-03-28,51.18072172481556,Available,5
AST-120,Switch,S&T,Loc-390km,COR-002,Critical,2001-12-13,2026-07-23,2026-11-09,91.35166289154823,Available,1
